País;Zona;65 y más;70 a 74 años  ;75 a 79 años  ;80 a 84 años  ;85 a 89 años  ;90 y más años
Bélgica;UE27;13605;3861;2623;1248;644;335
Bulgaria;UE27;8968;2626;1012;345;125;45
Dinamarca;UE27;2886;706;774;455;195;75
Finlandia;UE27;4422;1232;1117;713;319;112
Francia;UE27;29511;7482;5528;4000;2440;2675
Irlanda;UE27;4565;1362;998;421;147;46
Italia;UE27;18901;4882;3910;2734;1263;542
Países Bajos;UE27;15252;4536;3640;1691;635;236
Polonia;UE27;3506;1034;349;168;94;41
Portugal;UE27;18079;4913;2764;1685;1063;636
Alemania;UE27;36153;8681;7903;7237;2545;711
Rumanía;UE27;21973;5608;1742;796;296;96
Suecia;UE27;6354;1784;1620;837;282;116
Lituania;UE27;795;200;85;35;20;11
Otro país de la UE;UE27;4942;1245;1017;672;231;111
Reino Unido;Europa (no UE27);110839;32442;28239;13532;5053;1794
Noruega;Europa (no UE27);4195;1108;1140;589;230;100
Suiza;Europa (no UE27);6226;1619;1434;880;451;195
Ucrania;Europa (no UE27);14823;4463;1592;886;292;98
Moldavia;Europa (no UE27);1111;334;72;42;12;1
Rusia;Europa (no UE27);10002;2989;1279;768;317;86
Otro país del resto de Europa;Europa (no UE27);5125;1457;614;374;160;47
Argelia;África;6931;1740;1086;720;469;263
Gambia;África;812;166;56;5;0;0
Ghana;África;267;63;13;2;0;0
Guinea;África;978;284;182;63;36;16
Guinea Ecuatorial;África;2556;749;456;228;94;37
Mali;África;108;23;3;4;1;0
Marruecos;África;74365;19652;10702;6729;3725;1804
Mauritania;África;567;140;45;23;3;3
Nigeria;África;301;85;20;14;5;4
Senegal;África;2229;575;169;42;16;7
Otro país de África;África;4533;1255;630;328;145;69
Estados Unidos de América;América del Norte;6826;2017;1266;610;281;224
México;América del Norte;5666;1511;957;508;251;169
Canadá;América del Norte;856;265;133;66;22;14
Cuba;Centro América y Caribe;29352;7711;5575;3392;1791;1740
Honduras;Centro América y Caribe;2914;777;374;164;76;22
Nicaragua;Centro América y Caribe;1149;269;136;59;32;15
República Dominicana;Centro América y Caribe;10355;2790;1318;613;269;94
Otro país de Centro América y Caribe;Centro América y Caribe;3414;948;557;279;128;65
Argentina;Sudamérica;45305;12941;7523;3938;1963;1652
Bolivia;Sudamérica;6156;1592;686;288;93;49
Brasil;Sudamérica;7417;1599;834;449;235;153
Colombia;Sudamérica;38209;10123;5258;2723;1189;500
Chile;Sudamérica;10304;2776;1840;982;412;273
Ecuador;Sudamérica;22662;5821;2632;1049;429;147
Paraguay;Sudamérica;3273;805;330;178;52;28
Perú;Sudamérica;24919;6341;3922;2263;1161;623
Uruguay;Sudamérica;12106;3117;2104;1183;583;316
Venezuela;Sudamérica;34892;9559;4608;2402;947;431
Otro país de Sudamérica;Sudamérica;98;17;25;14;7;2
Bangladesh;Asia;136;37;15;5;1;0
China;Asia;8100;2060;978;427;206;73
Filipinas;Asia;5965;1756;849;387;176;87
India;Asia;3054;868;487;253;143;61
Pakistán;Asia;2163;458;241;100;48;27
Otro país de Asia;Asia;9575;3138;1920;763;319;151
Oceanía ;Oceanía ;662;183;116;50;20;18
